Pick the role that best describes you,Where you are primarily based,Which wallet(s) you use most often,How long you have been actively involved with Ethereum,How often you interact with Ethereum,What you primarily use Ethereum for,"How confident you feel using wallets, signing, and using dapps",Which statements match your typical behavior,What does privacy mean to you?,Your main reasons for using privacy tools.,"Have you used any privacy tools (e.g. VPNs, encrypted email/messenger) before?","Have you used any onchain privacy tools (e.g. Tornado Cash, Railgun, Zcash) before?",How important transaction privacy is to you when using Ethereum,Your overall satisfaction with the current level of privacy available on Ethereum today,How confident you are what is private and what is not when using privacy on Ethereum,How confident you are that what is private will remain private in the future,Your trust in the tools or methods you use for privacy on Ethereum,Which factors most influence your trust in using privacy tools,Which in-app signals would help you feel more confident and safe,How often you use each category of privacy tools | Mixers or privacy pools,How often you use each category of privacy tools | Shielded pools or transactions,How often you use each category of privacy tools | Stealth or one-time addresses,How often you use each category of privacy tools | ZK identity or selective disclosure proofs,How often you use each category of privacy tools | Private or anonymous voting,How often you use each category of privacy tools | Private relayers or paymasters,How often you use each category of privacy tools | Private mempools or MEV-protected order flows,How often you use each category of privacy tools | Private L2/rollups focused on privacy,How often you use each category of privacy tools | Private read mode or custom/private RPCs,Which onchain privacy tools do you use most (be specific),How often you use other privacy tools | VPN,How often you use other privacy tools | Tor,How often you use other privacy tools | Encrypted messaging (e.g. Signal),How often you use other privacy tools | Password manager,How often you use other privacy tools | Hardware security key (e.g. YubiKey),How often you use other privacy tools | Private or hardened browser profile,How often you use other privacy tools | Ad/tracker blockers,How often you use other privacy tools | Email aliases or burner emails,How often you use other privacy tools | Encrypted storage,How often you use other privacy tools | Encrypted DNS,What stops you most from using privacy tools today,What stops you most from using privacy tools today,Have you ever abandoned a privacy app before using or finishing the flow?,"If yes, why?",What your biggest risks are when transacting on Ethereum,Which trade-offs are acceptable for you when using privacy features,Where you would expect to turn on privacy,"Do you prefer transparency by default with an option to go private, or privacy by default with an option to share",How important is it that your main wallet includes clear privacy controls,How likely are you to switch if another wallet offers clearly better privacy,Which of these would help you use privacy tools more,Which of these would help you use privacy tools more,"What’s one thing you’d change, fix, or add to increase adoption of privacy on Ethereum",What privacy use cases or projects are you most excited about?,Any other feedback you like to share
Researcher,Europe,"MetaMask,Gnosis Safe",3-5 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking",Somewhat confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly","LINDDUN, i.e. a i see it from the perspective of privacy harms that LINDDUN is an acronym for.","Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking,Meet local policies or regulations",Yes,Yes,Very important,Not at all satisfied,Not at all confident,Not at all confident,No trust at all,"Widely used in production and time-tested,Strong security practices: active bug bounties, and policies,Verifiable releases and contracts, reproducible builds, and clear changelogs","Transaction preview or simulation before sending,Linked audits or a security page,Linked verified contracts and release notes",Monthly,Never,Never,Never,Never,Never,Never,Never,Never,,Monthly,Rarely,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Never,"Regulatory or policy uncertainty,Missing in my wallet or favorite dapps,Security concerns",,Often,"Too many steps or signatures,Unclear what it would do,Unclear what the benefits were","Losing funds or access,Targeted attacks, scams, or phishing","Signing multiple transactions,Using a separate wallet or account,Withdrawal delays up to 1 day",In my wallet,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Private stablecoins,Private identity and attestations",,"Actually talk about privacy. Even this form is mostly about security. Not a single person in PSE knows what privacy even is. I have talked with many of them. Literally no clue. Sad. At least hire a single expert, please.",,
Developer,South Asia,MetaMask,3-5 years,Monthly,"DeFi, lending, swaps, or staking,NFTs, art, collectibles, memberships, etc.,Education and learning",Confident,"I review gas, nonce, and permissions before confirming,I decode and read what I am signing,I simulate or dry run transactions before sending,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties",,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Prevent targeting, scams, or front-running",Yes,No,Important,Somewhat satisfied,Somewhat confident,Somewhat confident,Trust,"Logical in-app UX with info and context,Clear docs on how it works, architecture, and trade-offs,Open-source code","Simple explanation of risks, leaks and trade-offs,Onboarding with in-app documentation and tips,Linked audits or a security page",Never,Never,Never,Rarely,Rarely,Rarely,Rarely,Monthly,Rarely,,Monthly,Rarely,Rarely,Weekly,Rarely,Monthly,Daily,Rarely,Weekly,Rarely,"Complex or hard to use,High gas or transaction costs,Regulatory or policy uncertainty",,,,,,On Ethereum itself,,Important,Very likely,"Private send in wallets,Private identity and attestations,Private messaging",,NA,,
Marketing or Growth,Europe,"Rabby,Coinbase wallet,Gnosis Safe",3-5 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Running nodes or infrastructure",Confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly",,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Avoid censorship and keep freedom to transact",Yes,Yes,Important,Not at all satisfied,Not at all confident,Not at all confident,Some trust,"Clear website and language that explains what it does,Widely used in production and time-tested,Open-source code","Simple explanation of risks, leaks and trade-offs",Rarely,Never,Rarely,Monthly,Monthly,Never,Monthly,Rarely,Never,,Daily,Rarely,Daily,Daily,Never,Monthly,Daily,Monthly,Daily,Weekly,"Complex or hard to use,Social stigma or reputation risk,Other",,Sometimes,"Unclear what it would do,Needed new wallet/account or setup I didn’t want,Took too long or got stuck","Losing funds or access,Targeted attacks, scams, or phishing,Government or big-tech surveillance and misuse of data","Pay up to ~5% more in fees,Wait up to a few minutes longer","I do not care where, I just want it to work","Private by default, option to share",Very important,Likely,"Private stablecoins,Private identity and attestations,Private messaging",,More EF support to teams working in privacy tech,,
Other,Europe,"Rabby,Trust wallet",6-8 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Education and learning",Very confident,I rely on wallet security alerts and blocklists,decentraliz,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact",Yes,Yes,Somewhat important,Satisfied,Confident,Somewhat confident,Trust,"Clear website and language that explains what it does,Logical in-app UX with info and context,Open-source code","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Never,Never,Never,Never,Never,Never,Rarely,Monthly,Never,https://quilibrium.com/,Daily,,Daily,,,,Daily,,Daily,Daily,"Complex or hard to use,Regulatory or policy uncertainty,Security concerns",,Often,"Unclear what it would do,Unclear what the benefits were,Fees or deposits required up front","Deanonymization later by chain analysis,Metadata leakage (IP, RPC, browser, mempool),Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,2–3 extra confirmations or screens,Using a separate wallet or account",On Ethereum itself,"Private by default, option to share",Somewhat important,Likely,"Private send in wallets,Private messaging,Verifiable in-App privacy labels, audits, and reputation badges",,A PEER-TO-PEER MPC PLATFORM AS A SERVICE,https://quilibrium.com/quilibrium.pdf,
Researcher,East Asia,Rabby,3-5 years,Weekly,"DeFi, lending, swaps, or staking,Running nodes or infrastructure,Education and learning",Not at all confident,"I rely on wallet security alerts and blocklists,I review gas, nonce, and permissions before confirming,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I connect through my own node or a custom RPC",,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact",Yes,Yes,Important,Not at all satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Widely used in production and time-tested,Verifiable releases and contracts, reproducible builds, and clear changelogs","Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending,Linked audits or a security page",Rarely,Weekly,Monthly,Rarely,Never,Never,Weekly,Rarely,Weekly,,Daily,,Daily,Daily,Never,Daily,Daily,Daily,Daily,Rarely,"High gas or transaction costs,Regulatory or policy uncertainty,Too few people use it, so privacy feels weak",,Sometimes,Fees or deposits required up front,Government or big-tech surveillance and misuse of data,"Wait up to a few minutes longer,2–3 extra confirmations or screens,Using a separate wallet or account",,"Private by default, option to share",Very important,Very unlikely,"Private send in wallets,Private stablecoins,Encrypted mempools or private order flow",,encrypted mempool,Every ether transfer id mixed and untraceable natively. ,
Developer,Europe,"MetaMask,Other",9+ years,Monthly,"DeFi, lending, swaps, or staking,DAOs and governance,Donations, charities and public goods",Very confident,"I review gas, nonce, and permissions before confirming,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I rotate addresses or refresh accounts periodically,I connect through my own node or a custom RPC",Being able to choice what I share and to who I share it with,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact",Yes,Yes,Very important,Not at all satisfied,Not at all confident,Not at all confident,Some trust,"Open-source code,Strong security practices: active bug bounties, and policies,Verifiable releases and contracts, reproducible builds, and clear changelogs","Simple explanation of risks, leaks and trade-offs,Linked verified contracts and release notes,Proofs or logs you can copy or share if you need to prove something later",Daily,Daily,Weekly,Daily,Daily,Rarely,Rarely,Never,Never,"I want to use privacy tools I can interact with that go beyond defi, like privacy for generic compute etc",,Daily,Daily,Daily,,Daily,Daily,Daily,Never,Daily,"High gas or transaction costs,Missing in my wallet or favorite dapps,Hard to verify what is private",,Sometimes,"Too many steps or signatures,Unsure the tool was safe or trustworthy,Took too long or got stuck","Physical targeting or extortion risk,Government or big-tech surveillance and misuse of data,Permanent onchain records that cannot be undone","2–3 extra confirmations or screens,Signing multiple transactions,Fixed deposit/withdrawal sizes",Inside the app I am using,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Private L2s focused on privacy,Encrypted mempools or private order flow",,Make developer tooling and fund and help privacy projects such as shield dot markets stay alive . Make developers aware of these tools,Privacy beyond defi also indistinguishable obfuscation ,"Keep making developers tools, pse should fund more grants to team etc"
Developer,Central America,"Rabby,Other",6-8 years,Monthly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Work, salary or payroll",Somewhat confident,"I review gas, nonce, and permissions before confirming,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer",,,Yes,No,Somewhat important,Not at all satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Independent audits","Simple explanation of risks, leaks and trade-offs,Integrated test networks,Proofs or logs you can copy or share if you need to prove something later",Monthly,Rarely,Rarely,Weekly,Rarely,Rarely,Rarely,Monthly,Monthly,ZKP,Weekly,Monthly,Daily,Daily,Rarely,Rarely,Daily,Rarely,Daily,Rarely,"Complex or hard to use,Regulatory or policy uncertainty,Too few people use it, so privacy feels weak",,Sometimes,"Too many steps or signatures,Unclear what it would do,Fees or deposits required up front","Losing funds or access,Targeted attacks, scams, or phishing,Government or big-tech surveillance and misuse of data","Wait up to a few minutes longer,2–3 extra confirmations or screens,Signing multiple transactions",In my wallet,"Private by default, option to share",Important,Very likely,"Private send in wallets,Private identity and attestations,Private governance and voting",,Grandma test pasable UX,ZKPassport,"Good job, keep going!! "
Ethereum user,Europe,Other,6-8 years,Daily,"DeFi, lending, swaps, or staking,Running nodes or infrastructure",Very confident,"I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer,I use social recovery or a recovery setup I trust,I connect through my own node or a custom RPC,I use a multisig or smart account",Being able to take any action I want to take without it being linked back to me,"Personal safety and security,Avoid profiling, doxxing, or unwanted linking,Reduce data trails across apps and services",Yes,Yes,Important,Not at all satisfied,Not at all confident,Somewhat confident,Trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Strong security practices: active bug bounties, and policies",Transaction preview or simulation before sending,Rarely,Rarely,Never,Rarely,Never,Rarely,Never,Never,Weekly,Railgun,Monthly,Weekly,Rarely,Daily,Weekly,Daily,Daily,Daily,Daily,Rarely,"High gas or transaction costs,Too few people use it, so privacy feels weak",,Rarely,,"Deanonymization later by chain analysis,Metadata leakage (IP, RPC, browser, mempool),Permanent onchain records that cannot be undone","Pay up to ~5% more in fees,Wait up to a few minutes longer,Switching to a different network or L2",In my network or connection settings,"Private by default, option to share",Somewhat important,Very likely,"Private send in wallets,Privacy-preserving RPC and network routing",,Verifiable RPC privacy and unlinkability,Aztec,
Product,Europe,"MetaMask,Coinbase wallet,Rainbow",3-5 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Identity, like ENS, Passports, etc.",Confident,"I review gas, nonce, and permissions before confirming,I simulate or dry run transactions before sending,I use separate wallets for different activities or counterparties,I use a hardware wallet as my primary signer",,"Personal safety and security,Keep balances, income, or holdings confidential",Yes,Yes,Very important,Not at all satisfied,Somewhat confident,Not at all confident,No trust at all,"Logical in-app UX with info and context,Independent audits,Strong security practices: active bug bounties, and policies","Simple explanation of risks, leaks and trade-offs,Integrated test networks,Linked audits or a security page",Weekly,Rarely,Rarely,Monthly,Rarely,Never,Never,Monthly,Never,,Weekly,Rarely,Daily,Daily,Rarely,Rarely,Daily,Daily,Daily,Weekly,"Complex or hard to use,Too few people use it, so privacy feels weak",,Sometimes,Unsure the tool was safe or trustworthy,"Targeted attacks, scams, or phishing,Deanonymization later by chain analysis,Tools breaking, being blocked, or delisted",,In my wallet,"Private by default, option to share",Very important,Very likely,"Private send in wallets,Private identity and attestations,Privacy risk and monitoring dashboards",,Privacy Dashboard,,
Researcher,North America,"MetaMask,Coinbase wallet,Argent",6-8 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,NFTs, art, collectibles, memberships, etc.",Confident,None of the above,Personally speaking: a lot. On-chain: nothing. Because I really dislike the state of on-chain privacy. ,"Keep balances, income, or holdings confidential",Yes,Yes,Somewhat important,Not at all satisfied,Very confident,Confident,No trust at all,"Clear docs on how it works, architecture, and trade-offs,Referrals or endorsements from trusted people or orgs,Open-source code","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs",Rarely,Monthly,Monthly,Rarely,Weekly,Never,Never,Never,Never,On Ethereum: none. I use zcash shielded addresses otherwise. ,Weekly,Rarely,Daily,Daily,Daily,Daily,Daily,Monthly,Monthly,Rarely,Complex or hard to use,,Sometimes,"Too many steps or signatures,Needed new wallet/account or setup I didn’t want","Losing funds or access,Contract exploits or protocol hacks","Pay up to ~5% more in fees,Wait up to a few minutes longer","I do not care where, I just want it to work","Public by default, option to go private",Somewhat important,Unlikely,Private send in wallets,,"It's very hard to create new privacy protocols because of the fact that a wallet address has to pay for gas in the first place. Relayers, etc are not the solution. There needs to be a better mechanism to allow users to interact privately with the smart contracts that can provide privacy. Account abstraction isn't the solution either because people have been talking about it for years and there's almost nothing to show on that front.","Projects: Starknet (Private stwo proving), Intmax & Enygma (Rayls). Use cases: private DEXes & AMMs",
Ethereum user,North America,"MetaMask,Rabby,Rainbow",9+ years,Daily,"DeFi, lending, swaps, or staking",Confident,"I review gas, nonce, and permissions before confirming,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer",Non-kyc,"Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking,Avoid censorship and keep freedom to transact",Yes,Yes,Very important,Not at all satisfied,Somewhat confident,Somewhat confident,Some trust,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Independent audits","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,,Daily,Monthly,Weekly,Daily,Daily,Daily,Daily,Weekly,Weekly,Weekly,"Missing in my wallet or favorite dapps,Security concerns,Doesn’t work the same across apps or chains",,Sometimes,Unsure the tool was safe or trustworthy,"Losing funds or access,Metadata leakage (IP, RPC, browser, mempool),Tools breaking, being blocked, or delisted","Wait up to a few minutes longer,2–3 extra confirmations or screens,Using a separate wallet or account",In my network or connection settings,"Private by default, option to share",Important,Likely,"Private send in wallets,Privacy-preserving RPC and network routing,Encrypted mempools or private order flow",,Market makers providing more private asset liquidity in defi,"Defi, social/messaging",
Developer,South Asia,"MetaMask,Rainbow,Other",3-5 years,Weekly,"Finance, payments and transfers,Work, salary or payroll",Somewhat confident,"I rely on wallet security alerts and blocklists,I decode and read what I am signing,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I rotate addresses or refresh accounts periodically",,"Keep balances, income, or holdings confidential",Yes,Yes,Important,Not at all satisfied,Confident,Somewhat confident,Trust,"Logical in-app UX with info and context,Widely used in production and time-tested,Independent audits","Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending,Linked verified contracts and release notes",Rarely,Rarely,Monthly,Never,Rarely,Never,Never,Never,Never,Nada,Daily,Rarely,Daily,Daily,Rarely,Rarely,Weekly,Monthly,Rarely,Rarely,"High gas or transaction costs,Missing in my wallet or favorite dapps,Doesn’t work the same across apps or chains",,Rarely,Unclear what it would do,"Targeted attacks, scams, or phishing,Tools breaking, being blocked, or delisted,Contract exploits or protocol hacks",Wait up to a few minutes longer,In my wallet,"Public by default, option to go private",Important,Likely,"Private send in wallets,Selective disclosure proofs,Other",Private interoperable receive,Right now there are too many experiments. Either pick a winner or make things interoperable.,Curvy v2 and interoperable privacy ,
Ethereum user,North America,"MetaMask,Coinbase wallet",3-5 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Identity, like ENS, Passports, etc.",Confident,"I rely on wallet security alerts and blocklists,I use separate wallets for different activities or counterparties",Sovereignty and Agency,"Keep balances, income, or holdings confidential,Avoid censorship and keep freedom to transact,Reduce data trails across apps and services",Yes,No,Important,Not at all satisfied,Confident,Somewhat confident,Trust,"Referrals or endorsements from trusted people or orgs,Open-source code","Clear instructions and confirmation prompts,Transaction preview or simulation before sending,Trusted badge or reputation labels",Never,Never,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Railgun if ux improves,Weekly,Never,Monthly,Weekly,Never,Never,Monthly,Rarely,Rarely,Rarely,"Missing in my wallet or favorite dapps,Too few people use it, so privacy feels weak,Hard to verify what is private",,Never,,"Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","Wait up to a few minutes longer,Switching to a different network or L2,Using a separate wallet or account","I do not care where, I just want it to work","Public by default, option to go private",Important,Likely,"Private send in wallets,Private identity and attestations,Private messaging",,Ease like private browser,Shielding balances,Railgun has potential 
Ethereum user,East Asia,"Rabby,OKX wallet",6-8 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,NFTs, art, collectibles, memberships, etc.",Confident,"I rely on wallet security alerts and blocklists,I use separate wallets for different activities or counterparties","Privacy, to me, is the right to have a part of yourself that is not for sale, not for surveillance, not for optimization, and not for anyone else’s convenience.","Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking,Prevent targeting, scams, or front-running",No,No,Somewhat important,Somewhat satisfied,Not at all confident,Somewhat confident,Some trust,"Clear website and language that explains what it does,Clear docs on how it works, architecture, and trade-offs,Widely used in production and time-tested","Simple explanation of risks, leaks and trade-offs,Onboarding with in-app documentation and tips,Linked audits or a security page",Never,Never,Monthly,Rarely,Rarely,Rarely,Rarely,Never,Never,,,Rarely,Rarely,Monthly,Monthly,Rarely,Rarely,Never,Never,Never,"Complex or hard to use,Regulatory or policy uncertainty,Social stigma or reputation risk",,Rarely,"Unclear what the benefits were,Fees or deposits required up front,Unsure the tool was safe or trustworthy","Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","Switching to a different network or L2,Using a separate wallet or account,Withdrawal delays up to 1 day","I do not care where, I just want it to work","Private by default, option to share",Somewhat important,Unlikely,"Private stablecoins,Selective disclosure proofs,Privacy risk and monitoring dashboards",,Users can choose whether or not to fully disclose their transaction records,,
Researcher,East Asia,OKX wallet,1-2 years,Weekly,Education and learning,Not at all confident,"I review gas, nonce, and permissions before confirming,I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a hardware wallet as my primary signer",,"Keep balances, income, or holdings confidential",Yes,No,Somewhat important,Somewhat satisfied,Not at all confident,Somewhat confident,Trust,"Clear docs on how it works, architecture, and trade-offs,Widely used in production and time-tested,Open-source code","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Rarely,Never,Never,zk,Daily,Rarely,Rarely,Rarely,Monthly,Monthly,Rarely,Rarely,Rarely,Rarely,"Complex or hard to use,Too few people use it, so privacy feels weak",,Sometimes,"Too many steps or signatures,Unclear what the benefits were,Unsure the tool was safe or trustworthy","Losing funds or access,Targeted attacks, scams, or phishing,Government or big-tech surveillance and misuse of data","Signing multiple transactions,Switching to a different network or L2,Using a separate wallet or account",Inside the app I am using,"Public by default, option to go private",Somewhat important,Very likely,"Private identity and attestations,Private governance and voting,Encrypted mempools or private order flow",,i don‘t know,noon,noon
Ethereum user,South Asia,"MetaMask,Gnosis Safe,OKX wallet",6-8 years,Daily,"Finance, payments and transfers,DeFi, lending, swaps, or staking,NFTs, art, collectibles, memberships, etc.",Confident,"I use separate wallets for different activities or counterparties,I avoid linking social profiles to my active addresses,I use a multisig or smart account",,"Personal safety and security,Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking",Yes,Yes,Somewhat important,Somewhat satisfied,Confident,Confident,Trust,"Logical in-app UX with info and context,Open-source code,Strong security practices: active bug bounties, and policies","Simple explanation of risks, leaks and trade-offs",Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Daily,Ethereum,Daily,,Daily,,,,,,,,Missing in my wallet or favorite dapps,,Sometimes,"Unsure the tool was safe or trustworthy,Needed new wallet/account or setup I didn’t want","Metadata leakage (IP, RPC, browser, mempool)","Wait up to a few minutes longer,Signing multiple transactions,Using a separate wallet or account",In my wallet,"Private by default, option to share",Important,Likely,"Private send in wallets,Private stablecoins,Private messaging",,privacy address,zkemail,No
Product,North America,"Rabby,Rainbow,Gnosis Safe",9+ years,Daily,"Finance, payments and transfers,Socials, Farcaster, Lens, etc.,Identity, like ENS, Passports, etc.",Confident,"I rely on wallet security alerts and blocklists,I review token approvals and revoke them regularly,I use separate wallets for different activities or counterparties,I rotate addresses or refresh accounts periodically,I use social recovery or a recovery setup I trust,I use a multisig or smart account",,"Personal safety and security,Keep balances, income, or holdings confidential,Prevent targeting, scams, or front-running",Yes,Yes,Very important,Not at all satisfied,Not at all confident,Not at all confident,No trust at all,"Clear docs on how it works, architecture, and trade-offs,Open-source code,Independent audits","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Transaction preview or simulation before sending",Monthly,Rarely,Monthly,Monthly,Rarely,Monthly,Monthly,Monthly,Never,"changenow, railgun, houdiniswap, fluidkey, revoke cash, veil cash",Daily,Monthly,Daily,Daily,Monthly,Weekly,Daily,Daily,Daily,Weekly,"Complex or hard to use,Missing in my wallet or favorite dapps,Doesn’t work the same across apps or chains",,Often,"Too many steps or signatures,Unsure the tool was safe or trustworthy,Took too long or got stuck","Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","Wait up to a few minutes longer,2–3 extra confirmations or screens,Using a separate wallet or account","I do not care where, I just want it to work","Private by default, option to share",Very important,Very likely,"Private send in wallets,Private identity and attestations,Privacy-preserving RPC and network routing",,"actual native account abstraction so we can rotate keys, get away from seed phrases, and not use eoa's",stealth addresses,thank you for creating this survey
Community builder,Southeast Asia,"MetaMask,Rabby,Phantom",3-5 years,Daily,"Finance, payments and transfers,DAOs and governance,Education and learning",Confident,"I rotate addresses or refresh accounts periodically,I use a multisig or smart account",Protection,"Personal safety and security,Avoid censorship and keep freedom to transact,Reduce data trails across apps and services",Yes,Yes,Important,Not at all satisfied,Somewhat confident,Confident,Trust,"Logical in-app UX with info and context,Open-source code,Independent audits","Simple explanation of risks, leaks and trade-offs,Onboarding with in-app documentation and tips,Linked audits or a security page",Monthly,Never,Rarely,Weekly,Never,Never,Never,Never,Never,"Privacy pools, Umbra and Fileverse (not financial but onchain pruvacy)",Weekly,Monthly,Daily,Daily,Never,Daily,Daily,Daily,Daily,Never,"Complex or hard to use,High gas or transaction costs,Too few people use it, so privacy feels weak",,Often,"Too many steps or signatures,Unclear what it would do,Took too long or got stuck","Losing funds or access,Targeted attacks, scams, or phishing,Government or big-tech surveillance and misuse of data","Pay up to ~5% more in fees,Wait up to a few minutes longer,Using a separate wallet or account",Inside the app I am using,"Private by default, option to share",Important,Likely,"Private send in wallets,Private identity and attestations,Selective disclosure proofs",,"Fixing RPCs comes first, the rest can be done app level","Privacy pools is great but not big enough, kohaku and for everyday privacy ddocs/dsheets",
Ethereum user,North America,MetaMask,6-8 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,Running nodes or infrastructure",Confident,I avoid linking social profiles to my active addresses,,"Keep balances, income, or holdings confidential,Avoid profiling, doxxing, or unwanted linking,Avoid censorship and keep freedom to transact",Yes,Yes,Important,Somewhat satisfied,Somewhat confident,Somewhat confident,Trust,"Logical in-app UX with info and context,Referrals or endorsements from trusted people or orgs,Open-source code","Clear instructions and confirmation prompts,Simple explanation of risks, leaks and trade-offs,Onboarding with in-app documentation and tips",Rarely,Rarely,Never,Never,Never,Rarely,Weekly,Rarely,Never,,Monthly,Never,Never,Daily,Never,Never,Daily,Never,Rarely,Never,"Complex or hard to use,High gas or transaction costs,My activity does not feel sensitive enough",,Never,,"Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","2–3 extra confirmations or screens,Signing multiple transactions,Using a separate wallet or account",On Ethereum itself,"Public by default, option to go private",Somewhat important,Likely,"Private L2s focused on privacy,Privacy-preserving RPC and network routing,Encrypted mempools or private order flow",,more secure wallets,,
Ethereum user,Central Asia,"MetaMask,OKX wallet",6-8 years,Weekly,"Finance, payments and transfers,DeFi, lending, swaps, or staking,NFTs, art, collectibles, memberships, etc.",Somewhat confident,"I rely on wallet security alerts and blocklists,I review token approvals and revoke them regularly",,"Personal safety and security,Prevent targeting, scams, or front-running,Avoid social judgment or harassment",Yes,Yes,Very important,Somewhat satisfied,Confident,Very confident,Trust,"Referrals or endorsements from trusted people or orgs,Open-source code,Independent audits","Clear instructions and confirmation prompts,Transaction preview or simulation before sending,Linked audits or a security page",Rarely,Rarely,Rarely,Rarely,Rarely,Never,Rarely,Rarely,Never,,Daily,Rarely,Monthly,Monthly,Rarely,Never,Monthly,Rarely,,Never,"Too few people use it, so privacy feels weak,Hard to verify what is private,I want onchain reputation or eligibility (airdrops, social graph)",,Never,"Unsure the tool was safe or trustworthy,Needed new wallet/account or setup I didn’t want","Losing funds or access,Targeted attacks, scams, or phishing,Contract exploits or protocol hacks","Pay up to ~5% more in fees,Wait up to a few minutes longer,Using a separate wallet or account","I do not care where, I just want it to work","Private by default, option to share",Very important,Likely,"Private identity and attestations,Private L2s focused on privacy,Selective disclosure proofs",,"I'd add native wallet support for stealth addresses (like EIP-6538). This would let users send/receive ETH privately by default—hiding transaction links—without extra steps, making privacy seamless and driving mainstream adoption like HTTPS did for the web.",WORM | EIP-7503  ,NO
